season,round,race_name,circuit_id,race_date,driver_id,driver_code,constructor_id,finish_position,grid_position,status,points
2010,4,Chinese Grand Prix,shanghai,2010-04-18,chandhok,CHA,hrt,17,24,+4 Laps,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,trulli,TRU,lotus_racing,18,20,Hydraulics,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,grassi,DIG,virgin,19,22,Clutch,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,rosa,DLR,sauber,20,17,Technical,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,buemi,BUE,toro_rosso,21,13,Accident,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,kobayashi,KOB,sauber,22,15,Accident,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,liuzzi,LIU,force_india,23,18,Accident,0.0
2010,4,Chinese Grand Prix,shanghai,2010-04-18,glock,GLO,virgin,24,19,Engine,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,webber,WEB,red_bull,1,1,Finished,25.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,alonso,ALO,ferrari,2,4,Finished,18.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,vettel,VET,red_bull,3,2,Finished,15.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,michael_schumacher,MSC,mercedes,4,6,Finished,12.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,button,BUT,mclaren,5,5,Finished,10.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,massa,MAS,ferrari,6,9,Finished,8.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,sutil,SUT,force_india,7,11,Finished,6.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,kubica,KUB,renault,8,7,Finished,4.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,barrichello,BAR,williams,9,17,+1 Lap,2.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,alguersuari,ALG,toro_rosso,10,15,+1 Lap,1.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,petrov,PET,renault,11,19,+1 Lap,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,kobayashi,KOB,sauber,12,10,+1 Lap,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,rosberg,ROS,mercedes,13,8,+1 Lap,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,hamilton,HAM,mclaren,14,3,Puncture,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,liuzzi,LIU,force_india,15,16,Engine,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,hulkenberg,HUL,williams,16,13,+2 Laps,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,trulli,TRU,lotus_racing,17,18,+3 Laps,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,glock,GLO,virgin,18,22,+3 Laps,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,grassi,DIG,virgin,19,23,+4 Laps,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,buemi,BUE,toro_rosso,20,14,Hydraulics,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,chandhok,CHA,hrt,21,24,Suspension,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,rosa,DLR,sauber,22,12,Collision,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,bruno_senna,SEN,hrt,23,21,Accident,0.0
2010,5,Spanish Grand Prix,catalunya,2010-05-09,kovalainen,KOV,lotus_racing,24,20,Gearbox,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,webber,WEB,red_bull,1,1,Finished,25.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,vettel,VET,red_bull,2,3,Finished,18.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,kubica,KUB,renault,3,2,Finished,15.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,massa,MAS,ferrari,4,4,Finished,12.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,hamilton,HAM,mclaren,5,5,Finished,10.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,alonso,ALO,ferrari,6,24,Finished,8.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,rosberg,ROS,mercedes,7,6,Finished,6.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,sutil,SUT,force_india,8,12,Finished,4.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,liuzzi,LIU,force_india,9,10,Finished,2.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,buemi,BUE,toro_rosso,10,13,Finished,1.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,alguersuari,ALG,toro_rosso,11,17,Finished,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,michael_schumacher,MSC,mercedes,12,7,Finished,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,petrov,PET,renault,13,14,Brakes,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,chandhok,CHA,hrt,14,23,Collision,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,trulli,TRU,lotus_racing,15,19,Collision,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,kovalainen,KOV,lotus_racing,16,18,Steering,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,bruno_senna,SEN,hrt,17,22,Hydraulics,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,barrichello,BAR,williams,18,9,Suspension,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,kobayashi,KOB,sauber,19,16,Gearbox,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,grassi,DIG,virgin,20,21,Wheel,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,glock,GLO,virgin,21,20,Track rod,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,rosa,DLR,sauber,22,15,Hydraulics,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,button,BUT,mclaren,23,8,Engine,0.0
2010,6,Monaco Grand Prix,monaco,2010-05-16,hulkenberg,HUL,williams,24,11,Front wing,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,hamilton,HAM,mclaren,1,2,Finished,25.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,button,BUT,mclaren,2,4,Finished,18.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,webber,WEB,red_bull,3,1,Finished,15.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,michael_schumacher,MSC,mercedes,4,5,Finished,12.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,rosberg,ROS,mercedes,5,6,Finished,10.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,kubica,KUB,renault,6,7,Finished,8.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,massa,MAS,ferrari,7,8,Finished,6.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,alonso,ALO,ferrari,8,12,Finished,4.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,sutil,SUT,force_india,9,11,Finished,2.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,kobayashi,KOB,sauber,10,10,Finished,1.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,rosa,DLR,sauber,11,13,Finished,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,alguersuari,ALG,toro_rosso,12,16,Finished,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,liuzzi,LIU,force_india,13,18,+1 Lap,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,barrichello,BAR,williams,14,15,+1 Lap,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,petrov,PET,renault,15,9,+1 Lap,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,buemi,BUE,toro_rosso,16,14,+1 Lap,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,hulkenberg,HUL,williams,17,17,+1 Lap,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,glock,GLO,virgin,18,21,+3 Laps,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,grassi,DIG,virgin,19,23,+3 Laps,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,chandhok,CHA,hrt,20,24,Fuel pump,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,bruno_senna,SEN,hrt,21,22,Fuel pressure,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,vettel,VET,red_bull,22,3,Collision,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,kovalainen,KOV,lotus_racing,23,20,Hydraulics,0.0
2010,7,Turkish Grand Prix,istanbul,2010-05-30,trulli,TRU,lotus_racing,24,19,Hydraulics,0.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,hamilton,HAM,mclaren,1,1,Finished,25.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,button,BUT,mclaren,2,4,Finished,18.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,alonso,ALO,ferrari,3,3,Finished,15.0
2010,8,Canadian Grand Prix,villeneuve,2010-06-13,vettel,VET,red_bull,4,2,Finished,12.0
